sperm_a,sperm_b,window_start_frame,window_end_frame,closest_frame,min_distance_px,segments_cross,crossing_frame,position_swap,approach_angle_deg,midpoint_x,midpoint_y,likelihood
41,50,112,140,125,0.67,True,124.0,False,0.0,363.29,474.83,0.989
51,73,186,190,187,9.45,True,187.0,True,54.7,241.68,250.66,0.849
44,46,85,93,87,9.56,True,87.0,True,45.2,378.05,651.13,0.847
51,64,137,142,141,13.6,True,138.0,True,60.5,126.89,407.4,0.782
38,61,126,145,139,8.39,False,,True,10.0,394.03,358.99,0.583
50,81,262,266,266,8.33,False,,True,4.7,357.79,474.39,0.583
39,51,107,113,111,8.7,False,,True,2.8,275.35,331.11,0.578
3,5,70,79,75,8.77,False,,True,150.0,496.22,637.12,0.577
23,45,221,231,224,8.93,False,,True,38.4,727.41,987.65,0.575
8,52,63,69,67,9.16,False,,True,147.8,402.9,715.17,0.572
39,51,196,202,199,9.23,False,,True,21.0,269.18,333.18,0.571
45,59,55,65,62,9.19,False,,True,84.2,883.37,361.58,0.571
16,69,135,143,138,9.61,False,,True,12.4,902.53,921.23,0.565
26,64,175,179,179,10.34,False,,True,170.1,6.27,550.2,0.555
13,89,235,243,239,10.9,False,,True,39.5,998.23,878.68,0.547
32,81,173,181,177,11.94,False,,True,19.8,566.33,102.53,0.533
44,45,198,205,201,12.43,False,,True,71.0,675.78,889.07,0.526
44,53,45,54,50,13.02,False,,True,23.3,338.29,525.81,0.518
13,24,60,72,66,13.05,False,,True,147.5,997.0,886.29,0.517
7,19,57,62,60,13.14,False,,True,78.7,72.86,953.92,0.516
12,58,31,37,34,14.35,False,,True,2.5,48.35,566.33,0.499
0,93,174,177,176,15.82,False,,True,104.4,825.6,35.65,0.479
16,92,259,266,264,15.85,False,,True,3.3,908.49,922.09,0.478
14,45,177,183,180,16.52,False,,True,42.7,655.12,795.8,0.469
4,5,42,57,50,16.68,False,,True,87.3,441.23,642.05,0.466
70,93,127,133,128,16.84,False,,True,19.7,1008.81,176.69,0.464
40,54,80,87,85,17.17,False,,True,168.2,674.17,308.57,0.46
13,65,90,99,97,17.23,False,,True,4.1,999.19,874.83,0.459
